longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,total_rooms_per_person,bedrooms_per_room,income_per_person,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_ces
-117.55,33.83,6,502,76.0,228,65,4.2386,2.2017543859649122,0.15139442231075698,0.018590350877192983,0,1,0,0,0,500001
-122.44,37.73,52,2381,492.0,1485,447,4.3898,1.6033670033670033,0.20663586728265435,0.002956094276094276,0,0,0,1,0,270000
-118.0,33.83,26,1718,385.0,1022,368,3.9333,1.6810176125244618,0.2240977881257276,0.0038486301369863012,1,0,0,0,0,196100
-118.26,34.01,38,697,208.0,749,206,1.4653,0.9305740987983978,0.2984218077474892,0.0019563417890520697,1,0,0,0,0,118800
-118.36,34.08,52,2373,601.0,1135,576,3.1765,2.090748898678414,0.2532659081331648,0.0027986784140969162,1,0,0,0,0,225000
-117.91,33.62,35,2426,359.0,937,387,9.2175,2.5891141942369265,0.14798021434460015,0.009837246531483457,1,0,0,0,0,500001
-118.39,34.08,52,1244,304.0,444,282,3.5114,2.8018018018018016,0.24437299035369775,0.007908558558558558,1,0,0,0,0,430800
-118.66,34.02,23,8798,1465.0,2750,1208,8.7364,3.1992727272727275,0.16651511707206182,0.003176872727272727,0,0,0,0,1,500001
-116.18,33.67,25,2888,654.0,2940,660,2.2141,0.9823129251700681,0.22645429362880887,0.0007530952380952381,0,1,0,0,0,66700
-118.45,35.58,16,5396,1182.0,1802,807,1.8819,2.9944506104328523,0.2190511489992587,0.0010443396226415093,0,1,0,0,0,69700
-118.01,33.89,34,1653,292.0,1003,310,4.6,1.6480558325024925,0.17664851784633998,0.0045862412761714854,1,0,0,0,0,203400
-122.4,40.71,22,2390,484.0,1131,452,2.1458,2.113174182139699,0.20251046025104602,0.001897259062776304,0,1,0,0,0,84700
-122.72,38.35,16,3049,609.0,1675,618,2.4117,1.8202985074626865,0.19973761889143982,0.001439820895522388,1,0,0,0,0,162500
-118.44,34.27,29,1701,419.0,1616,371,3.3603,1.05259900990099,0.24632569077013522,0.002079393564356436,1,0,0,0,0,142400
-117.1,32.69,11,3071,911.0,2812,774,1.2413,1.0921052631578947,0.29664604363399544,0.0004414295874822191,0,0,0,0,1,83100
-120.34,38.25,17,5497,1056.0,997,408,2.9821,5.513540621865597,0.19210478442786974,0.002991073219658977,0,1,0,0,0,111500
-117.16,32.74,49,1815,495.0,601,410,3.0571,3.0199667221297837,0.2727272727272727,0.005086688851913478,0,0,0,0,1,418800
-118.87,34.23,14,4242,746.0,1858,689,6.0145,2.2831001076426265,0.17586044318717586,0.0032370828848223895,1,0,0,0,0,287100
-119.26,34.27,40,2528,572.0,1318,549,3.6413,1.9180576631259485,0.22626582278481014,0.0027627465857359636,0,0,0,0,1,212700
-122.46,37.79,52,899,96.0,304,110,14.2959,2.9572368421052633,0.1067853170189099,0.04702598684210526,0,0,0,1,0,500001
-117.08,33.12,37,1060,268.0,823,229,1.8363,1.2879708383961117,0.2528301886792453,0.0022312272174969624,1,0,0,0,0,145500
-122.28,37.9,49,3191,516.0,1148,507,6.3538,2.779616724738676,0.16170479473519273,0.0055346689895470385,0,0,0,1,0,333700
-118.21,33.93,30,2831,862.0,3649,883,1.9668,0.7758289942449986,0.30448604733309786,0.0005389969854754727,1,0,0,0,0,152100
-117.5,34.12,2,11965,1802.0,4436,1296,5.285,2.697249774571686,0.1506059339740911,0.0011913886384129846,0,1,0,0,0,191700
-118.19,34.05,41,1098,264.0,1178,245,2.1058,0.9320882852292021,0.24043715846994534,0.0017876061120543293,1,0,0,0,0,124300
-117.41,34.11,12,6758,1550.0,3204,1279,2.5181,2.1092384519350813,0.22935779816513763,0.0007859238451935081,0,1,0,0,0,105500
-121.88,36.96,18,6355,1100.0,2304,972,6.0281,2.7582465277777777,0.17309205350118018,0.002616362847222222,0,0,0,0,1,321100
-118.1,34.09,44,2352,484.0,1517,463,4.2833,1.5504284772577455,0.20578231292517007,0.0028235332893869476,1,0,0,0,0,258000
-121.42,37.71,7,8297,1433.0,4189,1271,4.3696,1.9806636428741944,0.1727130288055924,0.0010431129147767963,0,1,0,0,0,170700
-121.85,37.25,20,3773,624.0,1965,607,5.4939,1.9201017811704835,0.16538563477338988,0.00279587786259542,1,0,0,0,0,241200
-118.25,33.98,44,1087,335.0,1441,310,1.6667,0.7543372657876475,0.30818767249310025,0.0011566273421235254,1,0,0,0,0,112500
-121.28,38.63,36,120,16.0,30,14,10.2264,4.0,0.13333333333333333,0.34088,0,1,0,0,0,350000
-117.4,33.95,46,2189,423.0,866,389,3.1384,2.527713625866051,0.19323892188213795,0.003624018475750577,0,1,0,0,0,111500
-118.09,33.81,36,1878,323.0,846,325,7.1937,2.219858156028369,0.17199148029818956,0.008503191489361702,1,0,0,0,0,254400
-121.23,38.78,13,3813,871.0,1513,783,2.0807,2.520158625247852,0.22842905848413322,0.001375214805023133,0,1,0,0,0,142600
-118.06,33.99,46,1203,219.0,637,211,3.3611,1.8885400313971743,0.18204488778054864,0.005276452119309262,1,0,0,0,0,174400
-121.89,37.33,42,1279,358.0,1254,340,2.2583,1.0199362041467304,0.2799061767005473,0.0018008771929824564,1,0,0,0,0,192500
-118.4,33.87,45,2181,505.0,965,471,5.3816,2.260103626943005,0.23154516276937184,0.005576787564766839,1,0,0,0,0,500001
-117.14,32.7,44,658,218.0,869,212,1.9338,0.757192174913694,0.331306990881459,0.0022253164556962023,0,0,0,0,1,89400
-118.04,33.92,35,2469,522.0,2151,537,3.4219,1.1478382147838215,0.21142162818955043,0.001590841469084147,1,0,0,0,0,156200
-117.44,34.08,15,5024,992.0,3208,981,3.6025,1.5660847880299251,0.19745222929936307,0.0011229738154613467,0,1,0,0,0,116400
-117.25,32.86,25,2911,533.0,1137,499,5.1023,2.560246262093228,0.18309859154929578,0.004487510993843448,0,0,0,0,1,500001
-118.07,33.79,34,2473,383.0,967,353,5.8283,2.557394002068252,0.15487262434290336,0.006027197518097207,1,0,0,0,0,362400
-118.32,34.26,24,5106,1010.0,2310,957,4.4375,2.2103896103896106,0.19780650215432824,0.001920995670995671,1,0,0,0,0,191500
-118.37,34.14,21,4670,1161.0,1914,1094,3.7986,2.439916405433647,0.24860813704496787,0.001984639498432602,1,0,0,0,0,367700
-120.84,37.52,16,4527,887.0,2531,825,3.7065,1.788621098380087,0.19593549812237684,0.0014644409324377718,0,1,0,0,0,124800
-120.47,35.74,9,4267,785.0,2065,691,3.7303,2.0663438256658595,0.18397000234356692,0.0018064406779661017,1,0,0,0,0,162700
-117.08,33.09,23,3792,624.0,1988,658,4.7566,1.9074446680080483,0.16455696202531644,0.002392655935613682,1,0,0,0,0,178300
-118.42,34.19,33,3353,790.0,2318,775,2.2589,1.4465056082830026,0.23560990158067402,0.0009745038826574634,1,0,0,0,0,269700
-117.92,34.0,36,116,30.0,193,35,3.8125,0.6010362694300518,0.25862068965517243,0.019753886010362695,1,0,0,0,0,136300
-117.94,33.78,34,2627,468.0,1409,450,4.7731,1.8644428672817601,0.17814998096688237,0.0033875798438608943,1,0,0,0,0,199200
-122.18,37.44,44,2237,347.0,948,346,8.2436,2.359704641350211,0.1551184622261958,0.0086957805907173,0,0,0,0,1,500001
-118.4,33.89,31,2926,492.0,1149,476,7.9611,2.546562228024369,0.16814764183185235,0.006928720626631854,1,0,0,0,0,500001
-117.88,33.84,26,1499,290.0,755,277,3.5893,1.985430463576159,0.1934623082054703,0.004754039735099338,1,0,0,0,0,238500
-122.01,37.4,24,1297,297.0,441,282,3.1439,2.941043083900227,0.2289899768696993,0.007129024943310657,1,0,0,0,0,47500
-118.2,34.12,41,1908,503.0,1557,453,2.9194,1.2254335260115607,0.2636268343815514,0.0018750160565189466,1,0,0,0,0,162000
-118.13,34.08,40,1931,449.0,1367,446,2.575,1.4125822970007316,0.23252200932159503,0.0018836869056327726,1,0,0,0,0,228400
-121.91,36.63,42,817,194.0,391,193,2.1776,2.0895140664961636,0.23745410036719705,0.005569309462915601,1,0,0,0,0,279200
-118.32,34.07,52,2156,306.0,861,311,8.8062,2.5040650406504064,0.14192949907235622,0.010227874564459932,1,0,0,0,0,500001
-118.46,34.16,16,4590,1200.0,2195,1139,3.8273,2.091116173120729,0.26143790849673204,0.0017436446469248292,1,0,0,0,0,334900
-118.3,33.99,43,1534,384.0,1231,329,2.5437,1.2461413484971569,0.2503259452411995,0.002066368805848903,1,0,0,0,0,94500
-116.85,32.83,17,4234,770.0,2191,725,3.6445,1.932450935645824,0.18186112423240436,0.0016633957097215882,1,0,0,0,0,197600
-121.33,38.04,15,1933,280.0,965,260,4.6477,2.0031088082901554,0.14485256078634248,0.004816269430051814,0,1,0,0,0,142700
-119.77,36.72,43,1763,389.0,1623,390,1.4427,1.086260012322859,0.22064662507090188,0.0008889094269870611,0,1,0,0,0,47700
-118.35,33.91,34,2055,448.0,1134,408,3.825,1.812169312169312,0.21800486618004866,0.003373015873015873,1,0,0,0,0,235400
-121.39,38.64,33,1503,282.0,652,229,3.6937,2.3052147239263805,0.18762475049900199,0.005665184049079755,0,1,0,0,0,99300
-121.14,40.29,17,1944,394.0,384,172,1.6875,5.0625,0.20267489711934156,0.00439453125,0,1,0,0,0,111500
-118.4,34.03,13,6152,1978.0,3397,1845,3.4058,1.8110097144539299,0.3215214564369311,0.0010025905210479837,1,0,0,0,0,275000
-120.83,37.51,13,3795,604.0,1639,609,4.6635,2.315436241610738,0.15915678524374177,0.002845332519829164,0,1,0,0,0,198400
-117.25,34.13,33,2898,503.0,1374,487,3.6856,2.109170305676856,0.173567977915804,0.002682387190684134,0,1,0,0,0,90000
-118.52,34.28,33,1975,271.0,801,287,7.8193,2.4656679151061174,0.13721518987341771,0.009761922596754057,1,0,0,0,0,379600
-118.54,34.3,22,4423,622.0,1995,582,8.2159,2.2170426065162907,0.1406285326701334,0.004118245614035087,1,0,0,0,0,376200
-117.6,33.87,15,7626,1570.0,3823,1415,3.4419,1.9947685064085796,0.2058746393915552,0.0009003138896154853,0,1,0,0,0,138100
-118.34,34.18,45,1328,290.0,720,289,3.875,1.8444444444444446,0.2183734939759036,0.005381944444444444,1,0,0,0,0,226900
-118.43,34.13,37,4400,695.0,1521,666,8.2954,2.8928336620644313,0.15795454545454546,0.005453911900065746,1,0,0,0,0,500001
-117.08,32.62,28,2468,506.0,1353,522,3.0771,1.8240946045824094,0.20502431118314424,0.0022742793791574283,0,0,0,0,1,158600
-118.09,34.17,36,2875,552.0,1131,458,4.3083,2.541998231653404,0.192,0.003809283819628647,0,1,0,0,0,269300
-118.87,34.2,26,1924,245.0,775,244,7.001,2.48258064516129,0.12733887733887733,0.009033548387096775,1,0,0,0,0,286800
-118.55,34.2,31,1963,420.0,1494,415,3.5313,1.3139223560910307,0.21395822720326033,0.0023636546184738956,1,0,0,0,0,211800
-122.12,37.41,33,2892,617.0,1250,581,5.3727,2.3136,0.21334716459197786,0.00429816,0,0,0,1,0,360900
-122.38,37.73,18,4037,990.0,2722,834,1.4282,1.4831006612784716,0.2452316076294278,0.0005246877296105804,0,0,0,1,0,140400
-119.1,36.21,38,727,173.0,559,176,2.4653,1.3005366726296959,0.23796423658872076,0.004410196779964222,0,1,0,0,0,49500
-118.55,34.38,24,6246,1028.0,2803,999,6.3002,2.2283267927220836,0.16458533461415306,0.002247663217980735,1,0,0,0,0,282900
-117.11,32.62,27,1846,509.0,1078,482,2.1719,1.712430426716141,0.2757313109425785,0.0020147495361781077,0,0,0,0,1,131500
-118.25,33.9,38,1201,223.0,733,206,3.3804,1.6384720327421556,0.18567860116569526,0.004611732605729877,1,0,0,0,0,105800
-118.0,33.79,18,3679,694.0,1820,652,3.6531,2.0214285714285714,0.18863821690676813,0.002007197802197802,1,0,0,0,0,143500
-118.37,36.19,10,443,111.0,48,21,3.125,9.229166666666666,0.2505643340857788,0.06510416666666667,0,1,0,0,0,71300
-118.37,34.05,52,2346,437.0,1121,400,4.0583,2.0927743086529884,0.18627450980392157,0.003620249776984835,1,0,0,0,0,444300
-118.46,34.2,22,4855,1350.0,2519,1258,3.0893,1.9273521238586742,0.2780638516992791,0.0012263993648273124,1,0,0,0,0,205600
-121.82,37.31,15,1504,294.0,1267,291,5.5145,1.1870560378847672,0.19547872340425532,0.0043524072612470405,1,0,0,0,0,219400
-118.65,34.18,26,4607,656.0,1769,643,7.4918,2.604296212549463,0.14239201215541566,0.004235048049745619,1,0,0,0,0,367600
-117.73,33.61,16,590,130.0,178,121,4.8611,3.3146067415730336,0.22033898305084745,0.027309550561797756,1,0,0,0,0,186800
-120.81,38.73,42,1276,260.0,799,259,2.7273,1.5969962453066333,0.20376175548589343,0.0034133917396745933,0,1,0,0,0,128600
-117.13,34.88,21,3254,669.0,1548,545,2.3373,2.102067183462532,0.20559311616472034,0.0015098837209302325,0,1,0,0,0,57100
-121.18,41.31,22,2124,432.0,829,313,2.4519,2.5621230398069965,0.2033898305084746,0.0029576598311218338,0,1,0,0,0,57500
-118.14,34.07,42,1036,199.0,656,215,4.1902,1.579268292682927,0.1920849420849421,0.0063875,1,0,0,0,0,235000
-117.9,34.08,32,5482,1251.0,3426,1117,3.2943,1.600116754232341,0.22820138635534476,0.0009615586690017513,1,0,0,0,0,204400
-119.0,35.39,51,1373,284.0,648,300,2.8295,2.118827160493827,0.20684632192279678,0.004366512345679012,0,1,0,0,0,72100
-118.52,34.2,35,2891,594.0,1757,581,4.3571,1.6454183266932272,0.2054652369422345,0.0024798520204894706,1,0,0,0,0,199800
-120.91,38.98,13,7689,1415.0,3264,1198,3.653,2.3556985294117645,0.1840291325269866,0.0011191789215686274,0,1,0,0,0,146800
-122.32,37.92,28,4649,977.0,2606,953,3.2674,1.783960092095165,0.2101527210152721,0.0012537989255564082,0,0,0,1,0,129100
-121.96,37.31,26,4310,678.0,1819,686,7.0469,2.3694337548103355,0.15730858468677494,0.0038740516767454647,1,0,0,0,0,365500
-116.5,33.81,26,5032,1229.0,3086,1183,2.5399,1.6305897602073882,0.2442368839427663,0.0008230395333765391,0,1,0,0,0,94800
-118.28,34.05,31,1525,730.0,2510,652,1.6355,0.6075697211155379,0.4786885245901639,0.000651593625498008,1,0,0,0,0,162500
-119.54,36.7,20,1815,375.0,1665,357,2.2448,1.09009009009009,0.2066115702479339,0.0013482282282282283,0,1,0,0,0,58900
-116.99,33.46,13,1614,410.0,846,270,2.83,1.9078014184397163,0.2540272614622057,0.0033451536643026004,1,0,0,0,0,43000
-121.09,37.33,40,524,112.0,329,96,1.7188,1.5927051671732524,0.21374045801526717,0.0052243161094224925,0,1,0,0,0,112500
-121.28,37.95,49,1200,364.0,1448,318,1.1094,0.8287292817679558,0.30333333333333334,0.0007661602209944751,0,1,0,0,0,52500
-118.52,34.2,19,4315,1304.0,2490,1222,2.6437,1.7329317269076305,0.3022016222479722,0.001061726907630522,1,0,0,0,0,195000
-118.29,34.03,27,1084,287.0,1085,279,2.135,0.9990783410138249,0.26476014760147604,0.0019677419354838708,1,0,0,0,0,119600
-122.03,38.26,25,4617,1046.0,2685,1011,2.9576,1.7195530726256982,0.2265540394195365,0.0011015270018621974,0,1,0,0,0,108500
-120.38,36.75,25,1689,495.0,1745,457,1.9056,0.9679083094555874,0.29307282415630553,0.0010920343839541547,0,1,0,0,0,60000
-117.69,33.51,4,1223,275.0,505,244,4.6607,2.4217821782178217,0.22485690923957483,0.00922910891089109,1,0,0,0,0,173000
